劳动教养	lao dong jiao yang 
旅客	lv ke 
应持	ying chi 
斡旋	wo xuan 
调停	tiao ting 
避免	bi mian 
态度	tai du 
假药	jia yao 
后果	hou guo 
人体	ren ti 
排污者	pai wu zhe 
排污费	pai wu fei 
免除	mian chu 
逮捕	dai bu 
区域	qu yu 
界限	jie xian 
指导作用	zhi dao zuo yong 
基础理论	ji chu li lun 
作用	zuo yong 
知情人	zhi qing ren 
内幕	nei mu 
证券交易	zheng quan jiao yi 
信息	xin xi 
原因	yuan yin 
倾销	qing xiao 
科学技术	ke xue ji shu 
监事会	jian shi hui 
规模较	gui mo jiao 
人数	ren shu 
保函	bao han 
扒掉	ba diao 
衣裤	yi ku 
围观	wei guan 
强行	qiang xing 
男子	nan zi 
职责	zhi ze 
实际意义	shi ji yi yi 
责令	ze ling 
热审	re shen 
决放	jue fang 
案犯	an fan 
会同	hui tong 
刑部	xing bu 
御史	yu shi 
京师	jing shi 
投资人	tou zi ren 
所称	suo cheng 
事务	shi wu 
途径	tu jing 
群众	qun zhong 
坚持	jian chi 
削减	xue jian 
温室	wen shi 
排放	pai fang 
气体	qi ti 
控制	kong zhi 
技术	ji shu 
方面	fang mian 
天罚	tian fa 
发扬	fa yang 
移植	yi zhi 
投票	tou piao 
事务性	shi wu xing 
应从	ying cong 
侧重	ce zhong 
转变	zhuan bian 
理事国	li shi guo 
录音	lu yin 
制品	zhi pin 
制作者	zhi zuo zhe 
录制	lu zhi 
职务侵占罪	zhi wu qin zhan zui 
主犯	zhu fan 
侵吞	qin tun 
身份	shen fen 
添附	tian fu 
时效	shi xiao 
割让	ge rang 
庇护	bi hu 
场所	chang suo 
任职	ren zhi 
摘取	zhai qu 
征得	zheng de 
器官	qi guan 
医生	yi sheng 
修正案	xiu zheng an 
公民权利	gong min quan li 
叙述	xu shu 
投诉	tou su 
控告	kong gao 
处罚权	chu fa quan 
营运	ying yun 
过失	guo shi 
级别	ji bie 
有力	you li 
武器	wu qi 
审计	shen ji 
保护法	bao hu fa 
血统	xue tong 
名誉	ming yu 
移送	yi song 
下述	xia shu 
市民	shi min 
延期	yan qi 
免责	mian ze 
延迟	yan chi 
私分	si fen 
隐匿	yin ni 
无偿	wu chang 
科技进步	ke ji jin bu 
科技	ke ji 
推动	tui dong 
世纪	shi ji 
下位法	xia wei fa 
上位法	shang wei fa 
默示	mo shi 
遵循	zun xun 
区别	qu bie 
标志	biao zhi 
宣布	xuan bu 
管理条例	guan li tiao li 
编制	bian zhi 
相关	xiang guan 
缔结	di jie 
缺席判决	que xi pan jue 
实务	shi wu 
职业道德	zhi ye dao de 
歧视	qi shi 
适用范围	shi yong fan wei 
效益	xiao yi 
效率	xiao lv 
本法	ben fa 
反诉	fan su 
原告人	yuan gao ren 
赃款赃物	zang kuan zang wu 
应予	ying yu 
涉案	she an 
裁量	cai liang 
裁量权	cai liang quan 
细化	xi hua 
量化	liang hua 
基准	ji zhun 
种类	zhong lei 
行贿	xing hui 
习惯法	xi guan fa 
国法	guo fa 
领导人员	ling dao ren yuan 
正职	zheng zhi 
工作部门	gong zuo bu men 
免职	mian zhi 
撤职	che zhi 
开除	kai chu 
处分	chu fen 
群众性	qun zhong xing 
受益人	shou yi ren 
被保险人	bei bao xian ren 
事故	shi gu 
制造	zhi zao 
隶属于	li shu yu 
法制	fa zhi 
存疑	cun yi 
有利于	you li yu 
委托合同	wei tuo he tong 
赠与	zeng yu 
运送	yun song 
谋利	mou li 
意欲	yi yu 
型法	xing fa 
外源	wai yuan 
依附性	yi fu xing 
质物	zhi wu 
专用权	zhuan yong quan 
著作权	zhu zuo quan 
专利权	zhuan li quan 
质押	zhi ya 
商标	shang biao 
思想观念	si xiang guan nian 
合宪性	he xian xing 
不合	bu he 
折抵	zhe di 
本息	ben xi 
公司债券	gong si zhai quan 
处于	chu yu 
工商登记	gong shang deng ji 
企业法人	qi ye fa ren 
资格	zi ge 
委付	wei fu 
保险人	bao xian ren 
无辜	wu gu 
地被	di bei 
二者	er zhe 
运行	yun xing 
现象	xian xiang 
法律意识	fa lv yi shi 
局限性	ju xian xing 
弥补	mi bu 
同学	tong xue 
人们	ren men 
总理	zong li 
国务委员	guo wu wei yuan 
复合	fu he 
联邦	lian bang 
类似	lei si 
地位	di wei 
作者	zuo zhe 
刑诉法	xing su fa 
修订	xiu ding 
主合同	zhu he tong 
担保法	dan bao fa 
司法程序	si fa cheng xu 
海洋法	hai yang fa 
用尽	yong jin 
管理局	guan li ju 
担保人	dan bao ren 
监督管理	jian du guan li 
银行业	yin hang ye 
肖像权	xiao xiang quan 
侵权人	qin quan ren 
网络	wang luo 
外国籍	wai guo ji 
拒收	ju shou 
民主选举	min zhu xuan ju 
无限	wu xian 
所犯	suo fan 
罪行	zui xing 
采纳	cai na 
限定	xian ding 
概括	gai kuo 
行情	hang qing 
发包方	fa bao fang 
设区	she qu 
迁入	qian ru 
户口	hu kou 
全家	quan jia 
收回	shou hui 
缓刑	huan xing 
普选	pu xuan 
居住	ju zhu 
办事机构	ban shi ji gou 
联运	lian yun 
区段	qu duan 
损坏	sun huai 
柔性	rou xing 
派出	pai chu 
提出申请	ti chu shen qing 
合作者	he zuo zhe 
延长	yan chang 
租船	zu chuan 
侵权	qin quan 
结社	jie she 
示威	shi wei 
游行	you xing 
集会	ji hui 
租金	zu jin 
收益	shou yi 
合意	he yi 
数人	shu ren 
相当于	xiang dang yu 
约束力	yue shu li 
推导	tui dao 
逻辑	luo ji 
是从	shi cong 
出来	chu lai 
期限内	qi xian nei 
承诺	cheng nuo 
本科毕业	ben ke bi ye 
受害人	shou hai ren 
结果	jie guo 
补足	bu zu 
耽误	dan wu 
满足	man zu 
开发	kai fa 
著作权人	zhu zuo quan ren 
负责制	fu ze zhi 
首长	shou zhang 
开证	kai zheng 
备用	bei yong 
开出	kai chu 
共益	gong yi 
实体性	shi ti xing 
最低水平	zui di shui ping 
纳入	na ru 
国会	guo hui 
称为	cheng wei 
借款	jie kuan 
八议	ba yi 
海商法	hai shang fa 
水泥厂	shui ni chang 
合伙人	he huo ren 
延续	yan xu 
领空	ling kong 
乘坐	cheng zuo 
飞机	fei ji 
被代理人	bei dai li ren 
缔约	di yue 
反垄断法	fan long duan fa 
决定书	jue ding shu 
内向	nei xiang 
或然性	huo ran xing 
演绎推理	yan yi tui li 
推理	tui li 
犯数	fan shu 
供应商	gong ying shang 
审判长	shen pan zhang 
货物保险	huo wu bao xian 
注册	zhu ce 
为辅	wei fu 
为主	wei zhu 
载明	zai ming 
章程	zhang cheng 
姓名	xing ming 
认购	ren gou 
名称	ming cheng 
抗辩	kang bian 
中央	zhong yang 
基本法	ji ben fa 
否作	fou zuo 
涂改	tu gai 
收款人	shou kuan ren 
本票	ben piao 
票面	piao mian 
城乡规划	cheng xiang gui hua 
融券	rong quan 
类比推理	lei bi tui li 
投保人	tou bao ren 
负伤	fu shang 
患病	huan bing 
级别管辖	ji bie guan xia 
专属	zhuan shu 
人选	ren xuan 
更换	geng huan 
应该	ying gai 
输在	shu zai 
起跑线	qi pao xian 
竞争对手	jing zheng dui shou 
提前	ti qian 
担心	dan xin 
行政部门	xing zheng bu men 
不足以	bu zu yi 
应然	ying ran 
有助于	you zhu yu 
功能	gong neng 
陪审制	pei shen zhi 
判定	pan ding 
身高	shen gao 
减轻	jian qing 
督促	du cu 
指导性	zhi dao xing 
案例	an li 
要素	yao su 
又称	you cheng 
怀孕	huai yun 
妇女	fu nv 
商业活动	shang ye huo dong 
豁免	huo mian 
特权	te quan 
期为	qi wei 
原判	yuan pan 
经济特区	jing ji te qu 
求偿	qiu chang 
代位	dai wei 
赔款	pei kuan 
食药	shi yao 
司级	si ji 
处级	chu ji 
内设	nei she 
总局	zong ju 
指引	zhi yin 
正义	zheng yi 
违背	wei bei 
领域	ling yu 
指出	zhi chu 
裁定书	cai ding shu 
判决书	pan jue shu 
抵押物	di ya wu 
确认书	que ren shu 
地址	di zhi 
电子	dian zi 
辈数	bei shu 
血亲	xue qin 
晚辈	wan bei 
直系	zhi xi 
继承人	ji cheng ren 
检察人员	jian cha ren yuan 
先决条件	xian jue tiao jian 
发挥	fa hui 
任务	ren wu 
荣誉称号	rong yu cheng hao 
勋章	xun zhang 
授予	shou yu 
受让人	shou rang ren 
表示	biao shi 
开端	kai duan 
探索	tan suo 
制约	zhi yue 
核心	he xin 
权限	quan xian 
车船税	che chuan shui 
税额	shui e 
正当性	zheng dang xing 
在于	zai yu 
来源	lai yuan 
代位权	dai wei quan 
公正司法	gong zheng si fa 
赖以	lai yi 
经济基础	jing ji ji chu 
参政议政	can zheng yi zheng 
民主监督	min zhu jian du 
民事行为	min shi xing wei 
监督员	jian du yuan 
改建	gai jian 
扩建	kuo jian 
情事	qing shi 
补偿金	bu chang jin 
解散	jie san 
关闭	guan bi 
开会	kai hui 
侮辱	wu ru 
导致	dao zhi 
婚姻关系	hun yin guan xi 
夫权	fu quan 
开放	kai fang 
进程	jin cheng 
趋势	qu shi 
世界	shi jie 
民主专政	min zhu zhuan zheng 
反映	fan ying 
会员制	hui yuan zhi 
信息网络	xin xi wang luo 
违约金	wei yue jin 
必备	bi bei 
书面形式	shu mian xing shi 
放弃	fang qi 
教唆犯	jiao suo fan 
侦查人员	zhen cha ren yuan 
版权	ban quan 
房地产	fang di chan 
改革	gai ge 
监督	jian du 
收购	shou gou 
非法	fei fa 
上市公司	shang shi gong si 
违法	wei fa 
有关部门	you guan bu men 
披露	pi lu 
董事长	dong shi zhang 
招标	zhao biao 
签约	qian yue 
欺诈	qi zha 
冷静	leng jing 
全国人大常委会	quan guo ren da chang wei hui 
省委	sheng wei 
有限责任公司	you xian ze ren gong si 
门户网站	men hu wang zhan 
保险公司	bao xian gong si 
汇报	hui bao 
新股	xin gu 
拆迁	chai qian 
标注	biao zhu 
缺陷	que xian 
默认	mo ren 
宏观调控	hong guan tiao kong 
遗产	yi chan 
跨越	kua yue 
承担责任	cheng dan ze ren 
阴谋	yin mou 
证券交易所	zheng quan jiao yi suo 
强奸	qiang jian 
国家安全	guo jia an quan 
佣金	yong jin 
承接	cheng jie 
责任感	ze ren gan 
权利人	quan li ren 
国家法律	guo jia fa lv 
分割	fen ge 
电站	dian zhan 
证券市场	zheng quan shi chang 
全球化	quan qiu hua 
市盈率	shi ying lv 
推迟	tui chi 
虐待	nve dai 
违法行为	wei fa xing wei 
未成年人	wei cheng nian ren 
公司董事会	gong si dong shi hui 
有车	you che 
有效期	you xiao qi 
维权	wei quan 
信息披露	xin xi pi lu 
对价	dui jia 
执法人员	zhi fa ren yuan 
建设部	jian she bu 
印花税	yin hua shui 
从业人员	cong ye ren yuan 
谋杀	mou sha 
信访	xin fang 
人事部	ren shi bu 
扶贫	fu pin 
战时	zhan shi 
侵犯版权	qin fan ban quan 
市场占有率	shi chang zhan you lv 
贿赂	hui lu 
建设工程	jian she gong cheng 
争执	zheng zhi 
年度报告	nian du bao gao 
发展规划	fa zhan gui hua 
经营范围	jing ying fan wei 
注销	zhu xiao 
缺席	que xi 
仿冒	fang mao 
中级人民法院	zhong ji ren min fa yuan 
医疗费	yi liao fei 
队伍建设	dui wu jian she 
注册会计师	zhu ce kuai ji shi 
道路交通	dao lu jiao tong 
接管	jie guan 
配偶	pei ou 
信息产业部	xin xi chan ye bu 
建设用地	jian she yong di 
殴打	ou da 
人民检察院	ren min jian cha yuan 
乙方	yi fang 
兼并	jian bing 
家产	jia chan 
印章	yin zhang 
推翻	tui fan 
法学院	fa xue yuan 
上海证券交易所	shang hai zheng quan jiao yi suo 
新材料	xin cai liao 
母公司	mu gong si 
公司债	gong si zhai 
破案	po an 
药品监督管理	yao pin jian du guan li 
船员	chuan yuan 
手按	shou an 
反垄断	fan long duan 
社会治安	she hui zhi an 
中央军委	zhong yang jun wei 
政治部	zheng zhi bu 
法医	fa yi 
农业银行	nong ye yin hang 
调查报告	diao cha bao gao 
对冲	dui chong 
最高人民法院	zui gao ren min fa yuan 
首席执行官	shou xi zhi xing guan 
麻醉药品	ma zui yao pin 
国有股	guo you gu 
文化部	wen hua bu 
合同约定	he tong yue ding 
清偿	qing chang 
分居	fen ju 
国土资源部	guo tu zi yuan bu 
私营企业	si ying qi ye 
国家主席	guo jia zhu xi 
典当	dian dang 
国家公务员	guo jia gong wu yuan 
药品监督管理局	yao pin jian du guan li ju 
和谐发展	he xie fa zhan 
备忘录	bei wang lu 
授权委托书	shou quan wei tuo shu 
展期	zhan qi 
废除	fei chu 
经营许可证	jing ying xu ke zheng 
医药费	yi yao fei 
商业贿赂	shang ye hui lu 
房地产开发企业	fang di chan kai fa qi ye 
按揭贷款	an jie dai kuan 
用词	yong ci 
业主委员会	ye zhu wei yuan hui 
下毒	xia du 
全文检索	quan wen jian suo 
证券法	zheng quan fa 
国家旅游局	guo jia lv you ju 
弄虚作假	nong xu zuo jia 
资产负债表	zi chan fu zhai biao 
最终解释权	zui zhong jie shi quan 
古希腊	gu xi la 
列席	lie xi 
个体工商户	ge ti gong shang hu 
加工贸易	jia gong mao yi 
控股公司	kong gu gong si 
企业制度	qi ye zhi du 
中签	zhong qian 
委托代理人	wei tuo dai li ren 
法律文件	fa lv wen jian 
泄密	xie mi 
中国农业银行	zhong guo nong ye yin hang 
变更登记	bian geng deng ji 
年终奖	nian zhong jiang 
胁迫	xie po 
垫付	dian fu 
规范性文件	gui fan xing wen jian 
排放标准	pai fang biao zhun 
暂行规定	zan xing gui ding 
劳动和社会保障部	lao dong he she hui bao zhang bu 
牟利	mou li 
中国社会科学院	zhong guo she hui ke xue yuan 
联营	lian ying 
婚约	hun yue 
保险合同	bao xian he tong 
执行董事	zhi xing dong shi 
嫖客	piao ke 
驻外	zhu wai 
划转	hua zhuan 
农村信用社	nong cun xin yong she 
行为规范	xing wei gui fan 
房屋拆迁	fang wu chai qian 
承兑	cheng dui 
发展研究中心	fa zhan yan jiu zhong xin 
娱乐活动	yu le huo dong 
轮奸	lun jian 
宅基地	zhai ji di 
青霉素	qing mei su 
小产权	xiao chan quan 
执业证	zhi ye zheng 
医疗事故	yi liao shi gu 
违约责任	wei yue ze ren 
集体经济	ji ti jing ji 
未遂	wei sui 
挂靠	gua kao 
现代企业制度	xian dai qi ye zhi du 
土地出让金	tu di chu rang jin 
中国政法大学	zhong guo zheng fa da xue 
中央党校	zhong yang dang xiao 
安全局	an quan ju 
前提条件	qian ti tiao jian 
股份制企业	gu fen zhi qi ye 
迎刃而解	ying ren er jie 
市纪委	shi ji wei 
非机动车	fei ji dong che 
股息	gu xi 
商业企业	shang ye qi ye 
感化	gan hua 
改革试点	gai ge shi dian 
优惠价格	you hui jia ge 
拘捕	ju bu 
基本养老保险	ji ben yang lao bao xian 
特别规定	te bie gui ding 
懈怠	xie dai 
滥用职权	lan yong zhi quan 
农业税	nong ye shui 
专利产品	zhuan li chan pin 
拆迁人	chai qian ren 
一级市场	yi ji shi chang 
名胜古迹	ming sheng gu ji 
刑事辩护	xing shi bian hu 
仓单	cang dan 
香港特别行政区	xiang gang te bie xing zheng qu 
犯罪团伙	fan zui tuan huo 
虚假广告	xu jia guang gao 
工业产品	gong ye chan pin 
内幕交易	nei mu jiao yi 
中国工程院	zhong guo gong cheng yuan 
剥夺政治权利	bo duo zheng zhi quan li 
应诉	ying su 
个体户	ge ti hu 
被执行人	bei zhi xing ren 
招标投标	zhao biao tou biao 
赔礼道歉	pei li dao qian 
稳步增长	wen bu zeng zhang 
地方法	di fang fa 
法制办	fa zhi ban 
小产权房	xiao chan quan fang 
要约收购	yao yue shou gou 
社会公德	she hui gong de 
统战部	tong zhan bu 
依法治国	yi fa zhi guo 
履行合同	lv xing he tong 
责任保险	ze ren bao xian 
自告	zi gao 
经国务院批准	jing guo wu yuan pi zhun 
吸收合并	xi shou he bing 
促进社会和谐	cu jin she hui he xie 
诈骗罪	zha pian zui 
专门委员会	zhuan men wei yuan hui 
房地产开发公司	fang di chan kai fa gong si 
国务院发展研究中心	guo wu yuan fa zhan yan jiu zhong xin 
强制措施	qiang zhi cuo shi 
经研究	jing yan jiu 
有价证券	you jia zheng quan 
区别对待	qu bie dui dai 
非法经营	fei fa jing ying 
价值判断	jia zhi pan duan 
袭警	xi jing 
国家工作人员	guo jia gong zuo ren yuan 
质量技术监督局	zhi liang ji shu jian du ju 
区公安分局	qu gong an fen ju 
资源税	zi yuan shui 
伪劣产品	wei lie chan pin 
存单	cun dan 
结构优化	jie gou you hua 
新闻办公室	xin wen ban gong shi 
垄断行业	long duan hang ye 
致残	zhi can 
民事行为能力	min shi xing wei neng li 
赝品	yan pin 
债权债务	zhai quan zhai wu 
村民委员会	cun min wei yuan hui 
基本农田	ji ben nong tian 
保险单	bao xian dan 
产权制度	chan quan zhi du 
经济价值	jing ji jia zhi 
男女平等	nan nv ping deng 
前手	qian shou 
商业保险	shang ye bao xian 
保险代理	bao xian dai li 
错漏	cuo lou 
监督权	jian du quan 
公司合并	gong si he bing 
中级法院	zhong ji fa yuan 
税收优惠政策	shui shou you hui zheng ce 
国家产业政策	guo jia chan ye zheng ce 
国家开发银行	guo jia kai fa yin hang 
慰问金	wei wen jin 
没收违法所得	mo shou wei fa suo de 
保险金额	bao xian jin e 
约瑟夫	yue se fu 
扭亏为盈	niu kui wei ying 
个体经营	ge ti jing ying 
劳务派遣	lao wu pai qian 
社会治安综合治理	she hui zhi an zong he zhi li 
遣返	qian fan 
道路交通安全法	dao lu jiao tong an quan fa 
地方性法规	di fang xing fa gui 
经济犯罪	jing ji fan zui 
贸易壁垒	mao yi bi lei 
转包	zhuan bao 
安全监督	an quan jian du 
公务员法	gong wu yuan fa 
股权转让协议	gu quan zhuan rang xie yi 
违章建筑	wei zhang jian zhu 
常任理事国	chang ren li shi guo 
涉案金额	she an jin e 
工商注册	gong shang zhu ce 
企业效益	qi ye xiao yi 
批准文号	pi zhun wen hao 
严重程度	yan zhong cheng du 
土地利用总体规划	tu di li yong zong ti gui hua 
企业债券	qi ye zhai quan 
仲裁机构	zhong cai ji gou 
参考文献	can kao wen xian 
保险法	bao xian fa 
建设用地使用权	jian she yong di shi yong quan 
聚氯乙烯	ju lv yi xi 
专利法	zhuan li fa 
新华通讯社	xin hua tong xun she 
被拆迁人	bei chai qian ren 
小企业融资	xiao qi ye rong zi 
路德	lu de 
漏税	lou shui 
承包经营权	cheng bao jing ying quan 
职工代表大会	zhi gong dai biao da hui 
会计法	kuai ji fa 
不称职	bu chen zhi 
下岗工人	xia gang gong ren 
规划许可证	gui hua xu ke zheng 
依法查处	yi fa cha chu 
全国人民代表大会常务委员	quan guo ren min dai biao da hui chang wu wei yuan 
仲裁裁决	zhong cai cai jue 
公务员录用	gong wu yuan lu yong 
转让合同	zhuan rang he tong 
公职人员	gong zhi ren yuan 
产品质量监督	chan pin zhi liang jian du 
用工单位	yong gong dan wei 
机关单位	ji guan dan wei 
出口加工区	chu kou jia gong qu 
苏格拉底	su ge la di 
亲生父母	qin sheng fu mu 
专款专用	zhuan kuan zhuan yong 
假冒伪劣产品	jia mao wei lie chan pin 
牟取暴利	mou qu bao li 
国家股	guo jia gu 
模棱两可	mo leng liang ke 
保险经纪	bao xian jing ji 
国家机关工作人员	guo jia ji guan gong zuo ren yuan 
执行公务	zhi xing gong wu 
一审法院	yi shen fa yuan 
中国注册会计师	zhong guo zhu ce kuai ji shi 
工会工作	gong hui gong zuo 
法律监督	fa lv jian du 
登记制度	deng ji zhi du 
产权登记	chan quan deng ji 
承担连带责任	cheng dan lian dai ze ren 
维持原判	wei chi yuan pan 
代扣代缴	dai kou dai jiao 
保险事故	bao xian shi gu 
软着陆	ruan zhuo lu 
执法行为	zhi fa xing wei 
可转换债券	ke zhuan huan zhai quan 
规模效益	gui mo xiao yi 
土地承包经营权	tu di cheng bao jing ying quan 
转让方	zhuan rang fang 
证券投资基金法	zheng quan tou zi ji jin fa 
注销登记	zhu xiao deng ji 
权利要求	quan li yao qiu 
法律地位	fa lv di wei 
国有股减持	guo you gu jian chi 
中央军事委员会	zhong yang jun shi wei yuan hui 
市场参与者	shi chang can yu zhe 
行纪	xing ji 
行为模式	xing wei mo shi 
广播影视	guang bo ying shi 
法律职业	fa lv zhi ye 
违法经营	wei fa jing ying 
房屋权属	fang wu quan shu 
经济贸易委员会	jing ji mao yi wei yuan hui 
恪尽职守	ke jin zhi shou 
利用职务之便	li yong zhi wu zhi bian 
廉租住房制度	lian zu zhu fang zhi du 
常住户口	chang zhu hu kou 
土地登记	tu di deng ji 
违法乱纪	wei fa luan ji 
职业安全	zhi ye an quan 
代理协议	dai li xie yi 
工业增加值	gong ye zeng jia zhi 
国务院法制办	guo wu yuan fa zhi ban 
人民政治协商会议	ren min zheng zhi xie shang hui yi 
发生法律效力	fa sheng fa lv xiao li 
国家版权局	guo jia ban quan ju 
证券业协会	zheng quan ye xie hui 
先占	xian zhan 
学位委员会	xue wei wei yuan hui 
中国人民政治协商会议	zhong guo ren min zheng zhi xie shang hui yi 
实用新型专利	shi yong xin xing zhuan li 
中医医院	zhong yi yi yuan 
非法拘禁	fei fa ju jin 
财产保全	cai chan bao quan 
